Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
133.3,751.2,0,89.41,93.16,279.87,422.16,178.97,38.4,8.63,121.59,1069.08,90.17,-1231.07,0,-0.02,0.28
134.33,137.72,0,89.71,93.16,279.87,420.26,169.8,36.8,8.63,127.66,1072.54,90.47,-1231.45,0,-0.02,0.29
135.34,348.28,0,89.79,93.16,279.86,423.31,188.46,34.67,8.67,124.26,1071.32,90.89,-1231.45,-0.01,-0.03,0.29
136.34,492.98,0,89.83,93.2,279.87,426.74,211.07,30.55,8.67,122.66,1076.2,89.15,-1231.45,0,-0.02,0.29
137.34,450.71,0,89.9,93.16,279.87,423.31,229.93,37.11,8.67,124.22,1073.36,89.47,-1231.45,0,-0.04,0.28
138.43,563.39,0,89.98,93.16,279.88,423.31,253.07,36.95,8.67,129.09,1073.16,89.85,-1231.07,-0.01,-0.03,0.29
139.56,676.08,0,90.05,93.16,279.87,426.74,278.27,32.76,8.67,129.71,1079.86,88.84,-1231.45,-0.02,-0.01,0.29
140.56,721.15,0,90.02,93.16,279.86,426.36,300.39,36.27,8.67,125.57,1078.64,89.15,-1231.45,0,-0.01,0.29
141.69,676.08,0,90.02,93.16,279.88,426.74,322.92,40.77,8.67,122.21,1079.46,88.47,-1231.45,-0.01,-0.02,0.29
142.85,833.85,0,90.05,93.16,279.86,426.36,348.24,42.29,8.67,124.63,1083.73,89.33,-1231.45,-0.01,-0.04,0.29
144.13,513.32,0,90.28,93.16,279.17,430.55,362.95,38.86,8.67,130.69,1084.95,90.08,-1231.45,-0.01,-0.02,0.3
145.32,713.64,0,90.28,93.12,278.89,427.5,383.99,37.41,8.67,129.83,1085.36,89.87,-1231.45,0,-0.02,0.28
146.35,619.74,0,90.09,93.12,278.58,430.93,384.02,39.32,8.7,124.75,1086.98,91.83,-1231.07,-0.01,-0.02,0.29
147.42,478.89,0,89.94,93.12,278.34,429.03,392.03,41.38,8.67,120.49,1087.19,91.38,-1231.07,0,-0.01,0.28
148.64,732.42,0,89.75,93.12,278.18,429.41,412.67,40.92,8.67,116.88,1086.99,90.73,-1231.45,0,-0.04,0.28
149.77,507.06,0,89.45,93.12,278.04,433.98,420.71,38.78,8.67,110.61,1088.82,91.43,-1231.45,0,-0.02,0.29
150.95,713.64,0,89.25,93.12,277.98,428.26,438.41,37.64,8.7,110.28,1087.59,91.45,-1231.45,-0.02,-0.02,0.28
151.96,515.11,0,88.99,93.12,277.94,430.17,444.08,42.6,8.7,117.49,1087.6,90.85,-1231.45,-0.02,-0.03,0.29
153.05,788.75,0,88.84,93.12,277.94,431.69,461.39,40.92,8.67,117.95,1087.19,90.75,-1231.07,-0.01,-0.03,0.29
154.12,547.3,0,88.72,93.12,277.92,426.74,467.34,41.76,8.7,111.02,1086.17,91.29,-1231.45,-0.01,-0.02,0.28
155.37,901.44,0,88.68,93.12,277.92,426.36,489.06,38.1,8.7,120.49,1084.95,91.73,-1231.45,0,-0.01,0.28
156.37,721.14,0,88.68,93.08,277.9,426.74,500.84,32.15,8.7,120.36,1081.7,91.78,-1231.45,0,-0.02,0.28
157.62,375.6,0,88.68,93.08,277.91,427.88,488.12,31.24,8.7,121.59,1085.36,92.36,-1231.45,0,-0.03,0.28
158.75,187.8,0,89.29,94.87,257.92,385.94,28.97,47.93,8.51,116.59,1007.82,85.18,-1231.45,-0.01,-0.01,0.29
159.75,360.58,0,89.41,94.87,257.89,381.37,60.54,48.77,8.51,122.95,1005.99,83.3,-1231.45,-0.01,-0.02,0.29
160.81,191.56,0,89.71,94.87,257.58,383.66,85.56,49.84,8.55,107.08,1005.79,84.88,-1231.45,-0.01,0,0.29
161.84,119.95,0,90.05,94.84,257.06,380.23,93.88,47.4,8.51,94.33,1003.55,86.16,-1231.83,-0.01,-0.02,0.27
162.88,97.85,0,91.43,94.84,256.74,382.89,95.7,41.07,8.55,69,1001.11,84.81,-1231.83,-0.01,-0.01,0.27
163.91,82.63,0,92.19,94.87,256.53,375.65,93.1,45.49,8.55,101.06,995.21,81.97,-1231.83,0,-0.01,0.27
164.91,124.33,0,92.23,94.87,256.17,379.46,96.65,48.7,8.59,108.03,996.43,83.79,-1231.45,0,-0.02,0.28
165.94,103.29,0,93.11,94.91,256.18,376.79,99.43,49.15,8.63,124.95,995.01,82.88,-1231.83,0,-0.01,0.27
166.95,138.68,0,94.55,94.95,255.57,376.79,109.2,47.1,8.59,128.73,993.99,82.78,-1231.83,-0.01,-0.02,0.27
167.98,80.83,0,95.89,95.03,254.32,375.65,101.42,45.72,8.59,126.02,992.77,85.98,-1231.83,-0.01,-0.03,0.27
169.01,61.97,0,96.96,95.14,253.19,376.79,85.39,47.4,8.63,110.61,993.18,88.49,-1231.45,0,-0.02,0.27
170.01,119.72,0,97.15,95.18,252.84,378.32,97.67,43.28,8.63,116.59,995.62,89.73,-1231.83,-0.02,0,0.28
171.05,109.37,0,97.18,95.22,252.47,379.08,99.42,44.2,8.63,123.81,993.99,89.78,-1231.45,-0.01,-0.01,0.27
172.05,106.59,0,97.11,95.26,251.09,376.03,98.19,44.96,8.63,113.19,992.16,90.12,-1231.45,0,-0.02,0.27
173.05,63.26,0,97.15,95.33,249.97,376.03,83.94,48.01,8.67,116.18,992.97,93.57,-1231.45,-0.02,-0.01,0.26
174.05,116.31,0,97.15,95.41,249.52,374.51,88.98,47.1,8.7,108.76,991.14,95.25,-1231.83,0,-0.02,0.27
175.05,185.92,0,97.11,95.41,249.14,373.36,104.87,46.71,8.7,109.91,990.53,95.27,-1231.83,-0.01,-0.02,0.28
176.09,84.51,0,97.03,95.45,248.47,372.6,97.34,48.32,8.7,113.56,987.49,96.37,-1231.45,0,-0.02,0.26
177.09,133.55,0,97.03,95.52,247.34,376.03,105.59,48.7,8.74,116.96,988.1,95.48,-1231.83,0,-0.01,0.27
178.09,150.24,0,97.03,95.52,247.26,376.03,115.36,48.54,8.74,113.93,987.49,92.66,-1231.45,-0.01,-0.02,0.27
179.15,112.68,0,96.96,95.56,246.31,373.36,109.11,48.7,8.78,113.89,987.28,94.97,-1231.45,0,-0.02,0.28
180.15,112.68,0,97.03,95.6,246.16,376.03,111.88,47.48,8.78,100.73,989.31,95.86,-1231.45,0,-0.03,0.28
181.16,97.45,0,97.26,95.67,245.16,372.98,109.31,45.95,8.78,85.6,990.53,96.7,-1231.45,-0.01,-0.02,0.27
182.19,132.8,0,97.34,95.71,244.29,371.46,113.23,47.93,8.82,89.7,988.7,96.65,-1231.83,0,-0.01,0.27
183.19,133.54,0,97.41,95.71,243.38,374.51,118.27,48.62,8.82,108.15,989.72,97.42,-1231.83,-0.02,-0.02,0.26
184.22,143.02,0,97.3,95.75,243.28,377.18,122.63,48.54,8.82,81.91,990.33,96.74,-1231.83,-0.01,0,0.27
185.26,153.25,0,97.3,95.79,242.71,371.08,123.65,48.01,8.78,87.65,987.07,96.3,-1231.45,-0.01,-0.02,0.27
186.26,212.1,0,97.26,95.79,242.14,370.69,119.78,47.32,8.78,82.73,986.87,98.75,-1231.83,-0.01,-0.02,0.27
187.26,80.13,0,97.11,95.87,241.48,374.13,105.85,41.53,8.78,117.7,988.29,98.77,-1231.83,-0.01,-0.02,0.27
188.26,68.41,0,97.07,95.87,240.08,374.51,90,48.47,8.74,113.72,987.48,97.86,-1231.83,0,-0.02,0.27
189.29,185.92,0,97.11,95.87,239.67,372.6,107.78,46.56,8.7,101.75,987.68,100.21,-1231.83,-0.02,0,0.27
190.33,66.4,0,97.11,95.94,238.46,374.51,93.7,48.77,8.67,154.14,987.68,96.32,-1231.45,0,-0.01,0.26
