Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
707.12,91.61,15.85,111.41,112.03,252.72,512.52,103.91,45.45,128.38,64.99,890.2,62.91,8.26,0,0,0.22
708.16,106.66,16.3,111.75,112.15,252.02,509.85,103.91,45,122.13,71.71,886.71,60.01,8.26,0,0,0.22
709.18,79.69,15.36,111.98,111.76,251.27,507.56,94.8,45.94,128.38,64.48,887.33,60.04,8.26,0,0,0.22
710.2,96.44,15.81,111.98,112.07,251.28,510.99,94.88,45.49,132.23,74.42,887.74,61.3,8.64,0,0.01,0.22
711.22,83.29,15.55,112.13,112.22,251.27,510.61,91.6,45.75,128.42,80.58,886.31,60.63,8.26,0,-0.01,0.22
712.23,104.69,17.24,112.13,112.26,250.7,510.99,94.74,44.06,128.99,77.59,884.88,62.71,8.26,0.01,0.01,0.23
713.25,60.11,16.3,111.98,112.37,250.13,513.28,78.49,45,124.3,83.45,885.7,61.8,8.26,0.01,0,0.22
714.27,64.41,14.91,112.13,112.26,249.84,509.47,72.77,46.39,134.78,69.75,882.01,62.3,8.26,0,0,0.22
715.29,85.24,16.22,113.04,112.49,249.81,514.04,77.16,45.08,133.41,75.25,886.31,63.53,8.26,0,0.02,0.23
716.31,81.18,16.6,113.27,112.56,249.1,514.43,78.89,44.7,126.36,80,883.86,63,7.88,0.01,0.01,0.23
717.32,87.25,13.45,113.54,112.68,249.1,511.76,82.11,47.85,131.09,79.33,881.61,63.59,8.26,-0.01,0,0.22
718.34,122.12,11.57,113.46,112.72,249.1,510.23,92.47,49.73,122.89,87.27,881,63.82,8.26,0,0.01,0.22
719.36,96.42,16.86,113.58,112.79,248.97,512.14,93.43,44.44,116.56,89.98,880.39,63.62,7.5,0,0,0.22
720.38,30.54,5.27,114.11,113.17,247.63,521.67,11.92,54.23,63.53,89.65,890.79,63.35,7.12,0,0,0.23
721.42,73.23,10.96,114.26,113.17,248.18,524.72,35.98,48.54,77.18,77.05,894.9,63.38,7.5,0,0,0.23
722.43,99.03,8.64,114.34,113.17,248.3,530.44,56.44,50.86,73.33,81.29,900.83,63.56,7.5,0,-0.01,0.23
723.45,89.39,5.84,114.3,113.17,249.11,529.68,68.28,53.66,70.77,104.72,884.86,63.18,7.12,0,-0.01,0.22
724.47,122.05,6.16,114.11,113.17,249.52,531.2,82.35,53.34,67.49,85.28,818.52,62.94,7.5,-0.01,-0.01,0.23
725.54,77.44,9.94,114.23,113.14,250.63,523.96,81.35,49.56,79.39,72.65,875.02,62.27,7.12,0,0,0.23
726.56,81.42,10.71,114.42,113.1,251.73,529.29,81.59,48.79,86.82,78.36,905.93,61.42,7.12,0,0,0.22
727.6,107.54,13.15,114.57,113.06,251.86,531.58,89.57,46.35,82.59,86.56,906.55,59.93,7.5,0,0,0.23
728.62,107.76,13.07,114.68,113.06,252.42,534.25,94.56,46.43,84.8,77.47,909.41,60.66,7.12,0,0,0.23
729.67,96.78,10.06,114.76,113.02,252.75,539.59,95.04,49.44,85.76,75.49,909.4,58.55,7.5,0,-0.01,0.23
730.69,91.61,11.28,114.87,112.98,253.39,539.21,95.87,48.22,84.31,81.04,916.77,58.61,7.5,0,0,0.24
731.75,97.5,11.85,114.91,112.98,253.93,539.59,95.28,47.65,87.39,80,914.72,59.63,7.88,0,0.01,0.23
732.76,101.78,11.36,114.95,112.95,254.29,539.59,98.17,48.14,91.4,75.76,867.02,60.34,7.88,0,0.01,0.22
733.78,96.43,10.67,115.03,112.95,255.35,535.01,97.74,48.83,85.11,80.95,889.95,60.07,7.88,0,0,0.23
734.8,101.77,12.95,115.07,112.95,255.53,534.25,99.24,46.55,83.66,82.78,853.3,60.31,7.12,0,-0.01,0.23
735.82,98.25,11.2,114.99,112.95,255.76,537.68,98.37,48.3,82.44,82.66,867.84,60.48,7.5,0,0.01,0.23
736.87,111.82,12.09,114.95,112.95,256.13,533.49,101.92,47.41,83.16,83.7,813.16,60.28,7.5,0,0.01,0.23
737.89,107.76,10.22,114.8,112.91,256.36,534.63,104.66,49.28,82.67,83.67,873.98,60.16,7.5,0,0.01,0.23
738.93,122.63,3.64,114.57,112.95,256.47,536.16,108.72,55.86,65.7,109.39,902.24,59.81,7.5,0,-0.01,0.23
739.95,118.18,5.76,114.26,112.91,257.04,535.01,111.81,53.74,71.88,88.18,729.63,59.75,7.5,0,0,0.23
740.98,124.86,9.98,114.04,112.87,257.88,531.58,113.75,49.52,117.86,59.17,877.05,61.65,7.88,0,0,0.23
742,122.11,4.86,113.92,112.87,258.13,536.54,116.47,54.64,113.62,71.25,912.48,63.53,7.88,0,-0.01,0.22
743.04,120.4,4.66,113.81,112.87,258.26,535.01,118.17,54.84,109.24,72.16,913.91,64.76,7.5,0,0,0.22
744.06,122.11,4.98,113.73,112.91,258.96,535.01,119.26,54.52,112.06,71.92,897.73,64.49,7.88,0,0,0.23
745.07,121.23,9.49,113.69,112.91,258.88,535.78,119.83,50.01,116.26,65.88,854.12,64.52,7.88,0.01,0.01,0.23
746.09,122.12,5.06,113.62,112.87,259.45,535.78,121.12,54.44,115.95,79.79,800.88,64.58,7.88,0,-0.01,0.22
747.13,124.42,5.35,113.54,112.87,259.7,534.63,121.56,54.15,111.3,82.96,850.85,64.52,7.5,0,0,0.24
748.14,122.11,3.32,113.46,112.87,259.81,535.39,121.9,56.18,121.02,78.78,906.34,64.99,7.88,0,-0.01,0.23
749.18,120.42,7.99,113.43,112.83,259.81,534.25,121.55,51.51,119.15,84.76,783.07,64.06,7.5,0,-0.01,0.23
750.2,122.12,7.1,113.46,112.83,259.8,535.01,122.41,52.4,129.71,76.53,757.47,64.17,8.26,0,0,0.22
751.22,122.12,7.71,113.5,112.83,260.08,535.78,122.45,51.79,119.5,87.57,903.05,63.03,7.88,0,0,0.22
752.25,124.43,8.76,113.39,112.83,260.12,535.01,122.38,50.74,118.5,85.62,915.75,63.09,7.88,0,0,0.23
753.27,119.8,2.61,114.07,112.87,263.8,532.34,71.3,55.69,98.49,91.69,900.82,63.12,7.5,0,0.01,0.23
754.3,119.8,3.74,113.92,112.91,263.78,546.83,84.71,54.56,115.42,63.59,913.97,62.39,8.26,0,0.01,0.24
755.33,119.8,5.16,113.85,112.98,263.5,546.83,94.51,53.14,130.29,71.37,915.21,62.27,8.26,0,0,0.23
756.34,121.5,8.33,113.81,113.02,262.64,514.04,101.93,49.97,136.12,70.55,889.58,58.35,7.88,0,0,0.24
757.36,121.5,6.51,113.69,113.06,263.46,509.85,107.44,51.79,137.45,81.53,892.83,57.91,7.88,0,0,0.24
758.37,121.5,5.25,113.54,113.14,262.9,511.76,111.5,53.05,136.35,82.32,893.03,58.76,7.88,0,-0.01,0.23
759.38,119.8,4.27,113.39,113.17,262.93,511.76,114.51,54.03,133.64,85.01,890.78,59.25,7.88,0,0.01,0.23
760.39,121.5,5.73,113.39,113.21,263.11,509.09,116.76,52.57,129.14,89.22,892.21,58.49,7.88,0,-0.01,0.23
761.42,122.64,3.42,113.31,113.25,262.85,510.23,118.94,54.88,132,85.44,891.8,58.73,8.26,0,-0.01,0.23
762.46,119.8,6.06,113.31,113.29,262.85,512.52,119.74,52.24,130.9,86.26,875.42,58.52,7.88,0.01,0,0.23
763.47,120.75,6.3,113.31,113.25,262.84,510.23,119.18,52,136.96,77.2,884.22,58.84,7.88,0,0,0.22
764.48,121.5,6.38,113.43,113.29,262.85,517.09,119.84,51.92,135.85,80.83,897.52,58.05,8.26,0,0,0.22
765.51,119.8,6.87,113.5,113.33,262.84,512.9,107.99,51.43,154.53,64.14,898.94,57.94,8.26,0,0,0.22
766.53,121.5,7.52,113.54,113.33,262.84,518.24,111.52,50.78,152.4,78.17,902.42,58.43,8.26,0,0,0.22
767.56,119.8,6.46,113.54,113.37,262.85,516.71,113.65,51.84,145.54,80.19,903.04,59.08,8.26,0,0.01,0.23
768.59,123.79,9.88,113.65,113.37,262.85,515.95,115.58,48.42,147.4,80.55,833.62,58.38,8.26,0,0,0.22
769.62,119.8,6.67,113.81,113.4,261.76,512.14,117.23,51.63,143.36,85.1,900.17,59.87,7.88,0,-0.01,0.22
770.63,121.5,4.72,113.81,113.4,261.88,512.14,118.28,53.58,139.97,87.91,899.14,61.27,8.26,0,-0.01,0.22
771.66,123.79,5.04,113.92,113.44,261.44,513.28,119.74,53.26,136.77,87.69,900.37,61.24,7.88,0,-0.02,0.22
772.7,119.8,8.33,114.07,113.48,261.17,511.76,119.8,49.97,151.37,75.83,895.66,60.6,8.26,0,-0.01,0.22
773.71,121.5,7.89,114.15,113.52,261.11,510.61,120.23,50.41,156.06,70.76,897.1,59.46,8.26,0,0,0.23
774.72,121.5,8.25,114.15,113.52,260.81,510.61,120.55,50.05,147.44,77.69,897.71,60.28,7.88,0,-0.01,0.23
775.73,117.58,8.01,114.15,113.59,260.82,510.23,119.78,50.29,144.81,82.05,896.48,60.37,8.26,0,0.01,0.22
776.76,119.8,10.57,114.15,113.63,260.81,509.09,119.67,47.73,140.96,85.74,894.64,60.69,7.88,0,0,0.23
777.8,123.79,9.47,114.34,113.63,260.07,509.47,120.71,48.83,149.31,76.4,893.62,60.81,7.88,0,-0.01,0.23
778.81,121.5,7.44,114.38,113.67,259.98,509.09,120.99,50.86,139.28,90.16,894.85,59.02,7.88,0,-0.01,0.22
779.84,119.8,6.1,114.38,113.71,259.89,505.28,120.74,52.2,139.55,88.55,832.8,58.46,8.26,0,0,0.22
780.87,123.79,7.28,114.46,113.78,259.52,513.28,121.48,51.02,145.15,85.13,896.07,59.49,8.26,0,0.01,0.22
781.88,121.5,7.2,114.46,113.78,259.32,509.47,121.53,51.1,142.68,84.37,895.05,59.69,8.26,0,-0.01,0.23
782.92,119.8,9.76,114.57,113.82,258.9,510.23,121.05,48.54,139.78,87.14,893.2,59.17,8.26,0,0,0.22
783.95,117.46,12.47,115.37,114.05,255.53,460.29,42.44,47.83,135.74,77.23,833.89,55.71,8.26,0,0,0.22
784.98,119.2,9.67,115.26,114.05,255.52,490.03,63.29,50.63,139.44,80.28,859.51,59.2,8.64,0,0,0.21
786,121.5,11.52,115.18,114.05,255.51,493.46,78.82,48.78,136.42,84.7,861.36,57.53,8.26,0,0,0.2
787.03,119.8,6.41,115.26,114.09,255.38,502.23,90.23,53.89,135.17,83.64,868.74,57.58,8.26,0,0,0.21
788.04,121.5,9.42,115.1,114.09,255.2,501.46,98.79,50.88,141.88,77.23,865.05,56.79,8.64,0,0.01,0.21
789.05,121.5,10,115.07,114.09,255.12,499.56,105.2,50.3,135.28,84.49,863.01,55.94,8.26,-0.01,0,0.21
790.07,121.5,10.16,114.95,114.13,255.23,502.61,109.89,50.14,136.58,80.28,864.03,55.39,8.26,0,0,0.21
791.1,116.06,14.37,114.91,114.17,254.98,499.56,112.14,45.93,141.53,77.72,865.06,56.3,8.64,0,0.01,0.21
792.11,113.91,11.44,114.84,114.13,255.07,500.7,113.4,48.86,139.55,79.76,864.24,56.33,8.64,0,0.01,0.21
793.12,121.5,10.41,114.84,114.17,255.12,499.94,116.02,49.89,141.23,76.28,865.67,55.07,8.64,0,0.01,0.21
794.13,121.5,10.61,114.84,114.13,255.62,500.7,117.98,49.69,141.04,77.81,864.86,54.63,8.64,0,0.01,0.21
795.15,121.5,8.59,114.99,114.13,255.83,503.75,119.48,51.71,143.55,74.39,865.68,55.71,8.64,0,0.01,0.21
796.2,118.21,10.24,115.14,114.17,255.62,504.89,117.74,50.06,140.69,83.18,864.65,56.15,8.64,0,0.01,0.21
797.23,119.8,4.96,115.29,114.09,255.42,499.56,118.85,55.34,144.28,82.32,864.86,57.2,8.64,0,0.01,0.21
798.24,121.5,8.22,115.41,114.09,254.96,515.95,119.53,52.08,142.98,83.36,887.13,58.2,8.64,0,0,0.21
799.27,123.79,4.1,115.52,114.13,254.76,515.95,119.95,56.2,125.33,99.47,874.02,60.81,8.26,-0.01,0,0.2
800.29,121.5,5.71,115.6,114.09,254.73,522.43,120.89,54.59,145.57,85.71,888.15,61.1,9.41,0,-0.01,0.2
801.32,119.8,5.58,115.71,114.13,254.74,521.29,120.65,54.72,136.5,87.05,888.56,60.75,8.64,0,0,0.2
802.33,121.5,2.41,115.79,114.09,254.45,523.58,121.43,57.89,132.76,89.71,892.86,60.57,8.64,0,0.01,0.2
803.36,123.79,5.87,115.79,114.09,254.45,527.01,121.45,54.43,131.73,81.68,893.68,60.54,9.03,-0.01,0,0.2
804.37,120.74,5.21,115.87,114.13,254.22,523.58,121.34,55.09,131.58,76.04,891.02,59.28,8.64,-0.01,0,0.2
805.39,121.5,5.46,115.94,114.13,254.02,522.43,121.29,54.84,132.99,80.4,888.35,57.7,9.03,0,-0.01,0.2
806.42,123.79,5.42,116.02,114.17,253.78,523.58,121.91,54.88,132.46,81.35,888.76,57.82,9.03,0,-0.01,0.2
807.43,121.5,6.37,116.09,114.2,252.98,524.72,121.86,53.93,130.44,83.03,891.22,59.66,9.03,0,0.01,0.21
808.46,119.8,7.85,116.13,114.2,252.9,528.53,121.23,52.45,136.23,78.66,893.68,59.84,9.03,0,0.02,0.2
809.49,123.79,9.25,116.17,114.24,252.9,529.29,121.88,51.05,133.41,77.96,892.45,59.96,8.64,0,0.01,0.2
810.53,119.8,10,116.25,114.28,252.56,525.48,121.3,50.3,133.26,78.81,890.81,60.22,8.64,0,0,0.2
811.54,121.5,5.71,116.29,114.32,252.37,523.19,121.31,54.59,130.44,78.88,873.61,59.43,8.64,0,0.01,0.2
812.55,121.5,4.72,116.36,114.36,252.03,520.53,121.95,55.58,129.48,85.04,886.92,61.07,9.03,-0.01,0,0.21
813.56,121.5,8.35,116.4,114.39,251.3,518.24,121.89,51.95,130.25,83.73,663.11,59.63,8.64,0,0.01,0.21
814.58,119.8,10.86,116.44,114.36,251.08,515.19,121.19,49.44,135.7,74.82,835.93,60.16,8.64,0,0.01,0.2
815.63,121.38,6.53,116.63,114.81,245.57,608.59,44.6,53.77,74.93,91.2,965.68,63.7,8.26,0,0.02,0.2
816.65,120.99,8.51,116.7,114.78,244.98,587.24,64.86,51.79,78.02,72.96,941.53,62.59,8.26,-0.01,-0.01,0.2
817.67,122.11,10.78,116.7,114.85,245.37,575.04,80.14,49.52,76.76,85.89,922.14,61.77,7.88,0,0,0.19
818.68,121.04,8.47,116.78,114.89,245.15,576.57,91.25,51.83,75.31,88.3,921.74,61.24,7.88,-0.02,0,0.2
819.72,124.42,5.38,116.86,114.93,244.8,573.14,100.46,54.92,68.33,98.95,921.73,60.57,8.26,-0.01,-0.01,0.2
820.74,117.65,7.77,116.7,115,245.1,522.43,105.62,52.53,73.36,77.75,865.35,58.2,8.26,0,0.01,0.2
821.76,122.12,9.09,116.48,115,245.55,519,110.34,51.21,80.07,73.45,889.28,58.76,8.26,-0.01,0,0.2
822.77,122.11,8.51,116.4,114.93,245.86,543.4,113.9,51.79,76.3,74.48,902.6,59.52,8.26,-0.01,0.01,0.19
823.81,120.36,8.92,116.55,114.85,245.9,541.49,116.09,51.38,74.51,78.54,864.12,60.19,8.26,-0.01,0,0.2
824.83,122.12,8.76,116.7,114.85,245.85,538.83,118.13,51.54,78.55,70.15,897.9,60.78,8.26,0,0.01,0.2
825.85,122.11,8.55,116.78,114.97,245.67,536.92,119.68,51.75,79.54,90.1,897.7,60.63,8.26,-0.01,-0.01,0.2
826.88,120.43,11.6,116.86,115.04,245.59,536.92,120.34,48.7,80.65,90.1,898.92,61.07,7.88,0,0.01,0.2
827.92,120.4,11.23,116.93,115.08,245.58,536.92,120.78,49.07,82.86,87.88,893.8,61.01,8.64,-0.02,-0.02,0.19
828.96,124.41,7.56,117.05,115.12,245.58,538.83,120.71,52.74,75.16,92.45,893.02,60.81,8.26,-0.01,0,0.2
829.98,122.12,2,117.09,115.16,245.28,543.78,121.12,58.3,63.45,117.17,892.03,61.51,7.88,0,0,0.2
831.01,120.41,8.02,117.05,115.16,244.68,546.83,120.98,52.28,81.9,78.48,894.9,61.95,7.88,-0.01,0,0.2
832.03,122.11,4.22,116.97,115.23,244.5,548.74,121.23,56.08,68.37,98.92,894.29,61.86,8.26,0,0.01,0.2
833.05,122.12,7.77,116.9,115.23,244.47,544.16,121.5,52.53,73.48,79.39,892.86,62.3,7.88,0,0.01,0.2
834.06,122.64,8.39,116.74,115.27,244.12,544.93,121.05,51.91,75.08,77.26,891.42,61.77,8.26,-0.01,0,0.2
835.1,120.41,6.41,116.74,115.31,244.13,544.54,121.39,53.89,73.1,81.35,893.68,61.83,8.26,-0.01,0,0.19
836.12,122.14,6.37,116.7,115.31,244.12,549.12,121.51,53.93,67.8,93.89,895.72,62.21,8.26,-0.01,-0.01,0.2
837.16,120.4,10.74,116.67,115.35,243.91,547.98,121.16,49.56,79.05,75.12,894.91,62.3,8.26,-0.01,0,0.2
838.17,122.11,5.21,116.51,115.31,243.45,549.5,122.02,55.09,75.5,95.44,895.53,62.53,8.26,0,0,0.2
839.21,124.43,4.1,116.4,115.39,243.42,548.36,122.13,56.2,71.73,99.04,894.71,62.68,8.26,0,0,0.2
840.25,120.42,3.03,116.25,115.42,243.43,549.12,121.64,57.27,62.96,102.95,893.89,62.62,8.26,0,-0.01,0.2
841.27,122.11,6.12,116.32,115.39,243.42,545.69,121.73,54.18,66.73,76.01,890.82,62.3,8.26,-0.01,0.01,0.2
842.3,120.4,8.76,116.48,115.39,243.42,548.74,121.35,51.54,74.89,62.77,891.23,62.33,8.26,-0.01,-0.01,0.2
843.32,122.12,7.97,116.63,115.42,243.43,546.45,121.5,52.33,78.93,82.75,891.64,62.24,7.88,-0.01,0,0.21
844.34,122.12,5.91,116.63,115.39,243.42,546.07,121.57,54.39,73.86,102.67,891.23,62.12,7.88,-0.01,0,0.2
845.36,122.14,7.07,116.59,115.39,243.75,553.31,122.32,53.23,71.31,105.91,894.71,62.09,8.26,0,0.01,0.2
846.39,73.2,1.6,114.84,114.01,251.44,573.14,20.3,58.8,125.9,96.91,926.42,62.74,8.64,-0.01,-0.01,0.2
847.43,116.65,8.4,114.91,114.09,251.74,551.03,47.13,52,131.47,73.9,915.3,62.8,8.64,-0.01,0.01,0.2
848.45,122.11,2.76,114.91,114.09,252.22,547.98,66.92,57.64,128.23,88.79,903.84,63.32,9.03,-0.01,-0.01,0.2
849.46,122.12,9.19,114.91,114.09,252.24,545.69,81.67,51.21,137.64,80,839.75,61.51,9.03,-0.01,0,0.2
850.5,116.65,10.01,114.8,114.13,252.24,557.89,91.7,50.39,146.79,77.26,903.13,63.29,9.03,0,0.01,0.19
851.54,120.4,11.17,114.76,114.13,252.6,554.46,99.87,49.23,140.58,85.04,896.8,62.74,9.03,-0.01,-0.01,0.19
852.58,120.4,9.93,114.65,114.13,252.6,554.46,105.78,50.47,142.18,82.57,897.82,62.04,9.03,-0.01,0.01,0.19
853.61,120.4,11.37,114.53,114.13,253.11,505.28,110.17,49.03,145.08,79.3,858.05,60.83,8.64,0,0.02,0.2
854.65,120.4,10.43,114.49,114.13,253.73,506.8,113.44,49.97,143.63,82.14,850.46,60.48,9.03,-0.01,0,0.19
855.67,122.11,7.42,114.49,114.17,254.12,504.13,116.17,52.98,135.66,89.58,859.46,60.01,9.03,0,0,0.19
856.68,118.18,10.01,114.61,114.17,254.13,505.28,117.19,50.39,136.96,88.43,863.35,60.19,8.64,0,0,0.19
857.7,122.12,8.4,114.68,114.17,254.13,504.51,117.67,52,133.3,93.15,861.92,59.72,8.64,-0.01,0,0.18
858.74,109.81,10.88,114.91,114.13,254.58,505.28,115.57,49.52,138.71,86.41,861.1,58.58,9.03,0,-0.01,0.19
859.78,116.65,7.66,115.37,114.09,254.75,507.56,116.28,52.74,145.42,77.47,856.81,58.49,9.03,-0.01,0.01,0.2
860.81,109.79,11.29,115.56,114.09,254.76,509.85,114.26,49.11,148.47,79.79,868.47,58.61,9.03,0,-0.01,0.19
861.83,122.11,10.67,115.64,114.09,254.76,507.56,116.3,49.73,146.83,78.27,848,57.79,9.03,0,0,0.19
862.85,114.49,9.81,115.71,114.09,255.12,507.18,115.8,50.59,146.26,81.84,865.81,57.91,9.03,0,0,0.19
863.87,122.11,10.43,115.83,114.09,255.13,502.61,117.34,49.97,138.79,88.18,827.52,58.02,8.64,0,0,0.18
864.88,122.12,11.29,115.83,114.09,255.13,498.79,118.58,49.11,140.46,85.28,860.89,58.4,8.64,0,0,0.18
865.9,118.18,9.06,115.83,114.09,255.12,501.46,119.15,51.34,138.25,88.88,860.48,57.73,9.03,0,0,0.18
866.92,122.11,7.37,115.87,114.09,254.78,502.61,119.99,53.03,140.66,86.72,862.32,58.26,8.64,0,0,0.19
867.94,122.11,7.95,115.98,114.09,254.76,502.61,120.62,52.45,141.15,83.42,841.24,57.88,8.64,0,-0.01,0.18
868.95,120.4,10.96,116.06,114.13,254.76,505.28,120.41,49.44,139.97,83.06,835.71,58.46,8.64,0,0,0.18
869.97,122.11,9.97,115.94,114.17,254.76,507.18,120.82,50.43,146.45,82.35,863.76,59.96,9.03,-0.01,0,0.19
870.99,122.11,8.45,116.02,114.2,254.76,503.37,121.8,51.95,140.46,89.62,859.46,59.52,9.03,0,0.01,0.2
872.01,122.11,10.18,116.09,114.24,254.76,500.7,122,50.22,136.65,93.09,859.25,60.37,9.03,-0.01,0,0.19
873.02,120.41,8.73,116.21,114.28,254.76,495.36,121.54,51.67,144.35,88.88,857.2,60.75,8.64,0,0,0.18
874.04,114.5,10.14,116.25,114.32,254.47,498.41,120.16,50.26,141.99,86.56,855.15,59.63,8.64,-0.01,0,0.2
875.08,124.42,6.92,116.25,114.39,253.61,499.56,120.74,53.48,140.73,88.21,857.81,59.22,8.64,-0.01,0.01,0.19
876.12,116.65,10.96,116.29,114.43,253.54,501.08,119.59,49.44,140.2,90.9,858.02,59.72,9.03,0,0,0.19
877.13,122.15,8.98,116.32,114.47,253.55,502.61,120.94,51.42,146.76,83.94,859.04,59.81,9.03,-0.01,0.01,0.18
878.15,124.89,9.48,116.36,114.51,253.26,503.37,120.5,50.92,142.07,87.66,858.43,60.4,9.03,0,-0.01,0.19
879.15,121.55,7.17,116.21,114.93,248.44,538.83,26.74,53.23,131.51,85.92,877.33,61.71,9.03,0,0,0.19
880.17,122.11,4.03,116.21,114.97,248.46,532.34,51.81,56.37,127.5,87.85,875.08,61.24,8.64,0,-0.01,0.19
881.19,122.12,8.2,116.21,115,248.46,530.44,70.46,52.2,132.61,84.76,872,58.2,8.64,0,0,0.2
882.21,122.04,7.42,116.09,115.04,248.45,528.53,83.15,52.98,130.44,87.69,873.44,58.67,8.64,0,0,0.2
883.24,120.42,6.8,115.94,115.04,248.44,529.68,93.47,53.6,134.75,83.03,873.64,61.24,9.03,0,0,0.2
884.26,122.11,7.17,115.94,115.04,249.43,531.2,101.98,53.23,132.57,87.08,874.87,61.3,8.64,-0.01,0,0.2
885.28,120.4,5.11,116.06,115,249.83,529.29,107.08,55.29,134.63,82.02,872.41,59.43,8.64,-0.01,0.01,0.19
886.33,122.64,6.55,116.02,114.97,249.84,530.44,110.98,53.85,132.95,89.31,873.23,59.93,9.03,0,0,0.2
887.37,119.68,7.46,116.13,114.89,249.84,527.39,114.31,52.94,136.84,81.19,871.59,59.9,9.03,-0.01,0.01,0.19
888.39,122.11,7.7,116.17,114.85,250.6,474.78,116.78,52.7,135.66,85.68,837.93,57.61,8.64,0,0,0.19
889.41,122.12,6.01,116.29,114.81,251.07,472.49,118.58,54.39,131.39,89.98,823.24,56.12,8.64,0,0.01,0.19
890.42,126.25,2.76,116.36,114.78,251.35,470.96,121.11,57.64,128.76,94.92,824.26,55.94,8.64,0,-0.01,0.19
891.44,118.18,5.15,116.48,114.74,251.25,468.29,120.9,55.25,134.21,88.52,822.83,56.15,8.64,0,0.01,0.19
892.46,120.91,7.37,116.59,114.74,252.09,470.96,121.44,53.03,130.13,90.38,825.29,56.09,8.64,0,0.01,0.2
893.48,122.11,8.53,116.63,114.66,252.12,471.73,121.64,51.87,140.96,79.18,826.31,56.41,8.64,0,0.01,0.2
894.49,122.11,7,116.7,114.62,252.41,472.11,121.8,53.4,133.91,86.41,824.68,56.12,8.64,0,0,0.2
895.53,119.93,7,116.7,114.62,252.37,470.58,121.26,53.4,132.53,86.69,823.44,55.89,9.03,0,0.01,0.2
896.55,122.12,7.95,116.74,114.62,252.67,471.34,122.14,52.45,139.66,77.72,825.7,56.18,8.64,0,0.01,0.19
897.57,120.4,11.74,116.78,114.59,252.79,471.73,121.64,48.66,140.46,82.02,825.49,56.71,8.64,0,-0.01,0.19
898.6,120.4,10.14,116.78,114.55,253.24,468.29,121.31,50.26,138.56,81.16,820.99,57.53,8.64,0,0.01,0.2
899.62,122.12,11.09,116.74,114.51,253.26,469.82,121.49,49.31,135.32,80,823.85,58.38,8.64,0,0,0.19
900.64,122.11,9.93,116.82,114.51,253.27,471.34,121.66,50.47,133.6,84.83,824.67,58.7,8.64,0,0,0.2
901.67,120.42,12.16,116.86,114.47,253.26,492.69,121.31,48.24,134.29,81.93,842.5,59.87,8.64,0,0,0.19
902.69,122.12,8.36,116.86,114.47,253.26,491.93,122.14,52.04,129.1,86.81,838.62,59.99,8.64,0,-0.01,0.19
903.71,120.4,9.15,116.86,114.47,253.27,490.41,121.59,51.25,131.43,84.92,840.06,60.31,9.03,-0.01,0.01,0.19
904.75,120.4,13.06,116.9,114.43,253.3,492.69,121.17,47.34,143.1,74.7,841.08,60.69,9.03,-0.01,0.01,0.19
905.78,124.41,11.42,116.86,114.43,253.3,492.69,121.99,48.98,140.16,77.66,841.49,60.37,9.03,0,0.01,0.2
906.8,114.49,14.67,116.86,114.43,253.56,486.98,119.76,45.73,146.37,72.87,837.8,60.63,9.03,-0.01,0.01,0.19
907.84,113.12,9.77,116.82,114.43,254.2,492.31,118.08,50.63,137.45,77.2,839.03,60.66,9.03,-0.01,0.01,0.19
908.86,122.11,10.55,116.82,114.43,254.04,492.31,119.14,49.85,151.1,61.03,840.46,60.28,9.03,0,0,0.2
909.86,106.64,9.39,114.49,114.09,251.38,502.99,11.33,51.01,201.01,72.87,870.29,59.63,8.64,0,0,0.19
910.89,109.81,13.19,114.61,114.09,251.38,510.99,40.23,47.21,229.64,73.08,856.65,60.22,9.03,0,0.02,0.2
911.93,113.12,13.81,114.76,114.05,251.37,500.7,61.32,46.59,228.76,69.33,870.45,59.08,9.03,0,0,0.19
912.95,99,12.94,114.84,114.05,251.38,503.75,73.3,47.46,221.71,69.39,873.09,59.75,8.64,0,0.01,0.19
913.98,112.63,11.46,114.91,114.09,251.37,507.56,84.89,48.94,241.72,76.1,858.24,61.57,9.03,-0.01,0.02,0.2
915,104.69,12.98,114.99,114.05,251.36,508.71,90.63,47.42,235.97,84.12,859.69,61.33,9.03,0,0.01,0.2
916.04,116.65,9.06,115.1,114.09,251.38,506.8,98.51,51.34,178.09,68.32,859.28,61.36,7.88,0,0.01,0.2
917.06,96.4,14.47,115.1,114.13,251.38,509.85,96.89,45.93,187.28,63.53,860.92,59.17,8.26,0,0.01,0.2
918.08,96.43,11.91,114.8,114.13,251.73,508.33,97.94,48.49,185.19,81.35,859.69,59.11,8.26,0,0.01,0.19
919.09,120.4,12.86,114.53,114.13,251.73,510.61,104.07,47.54,183.32,87.51,860.3,59.22,7.88,0,0.01,0.19
920.13,113.11,12.57,114.46,114.13,252.04,512.14,107.03,47.83,192.12,77.01,862.76,60.42,7.88,0,0.02,0.2
921.15,89.4,12.2,114.68,114.09,252.08,510.99,101.71,48.2,205.16,62,861.74,58.52,8.26,0,0.02,0.19
